[ 2017-04-25T15:55:56+08:00 ]  127.0.0.1 /Media/5 | ERR: (ThinkException) 非法操作5
[ 2017-04-25T15:55:56+08:00 ] 127.0.0.1 /Media/5
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Tag[ route_check ] --START--
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000374s ]
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000454s ]
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Tag[ app_begin ] --START--
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000271s ]
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000296s ]
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [2] file(): Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.

[ 2017-04-25T15:55:56+08:00 ]  127.0.0.1 /Media/5 | ERR: (ThinkException) 非法操作5
[ 2017-04-25T15:55:56+08:00 ] 127.0.0.1 /Media/5
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Tag[ route_check ] --START--
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000431s ]
[ 2017-04-25T15:55:56+08:00 ] /Media/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000504s ]
