[ 2017-04-26T13:28:16+08:00 ] 127.0.0.1 /order/newOrderList
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Tag[ route_check ] --START--
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Run CheckRoute Behavior [ RunTime:0.001047s ]
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Tag[ route_check ] --END-- [ RunTime:0.001313s ]
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Tag[ app_begin ] --START--
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000788s ]
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000848s ]
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Tag[ view_template ] --START--
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Run LocationTemplate Behavior [ RunTime:0.000276s ]
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Tag[ view_template ] --END-- [ RunTime:0.000317s ]
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | INFO: Tag[ view_parse ] --START--
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T13:28:16+08:00 ] /order/newOrderList | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
