[ 2017-04-28T11:00:39+08:00 ] 127.0.0.1 /text/upload.html
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | INFO: Tag[ route_check ] --START--
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | INFO: Run CheckRoute Behavior [ RunTime:0.000397s ]
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000483s ]
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | INFO: Tag[ app_begin ] --START--
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000285s ]
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000313s ]
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\CommonAction.class.php on line 134 and defined Action.class.php 第 305 行.
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-04-28T11:01:29+08:00 ] 127.0.0.1 /Text/index1
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ route_check ] --START--
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Run CheckRoute Behavior [ RunTime:0.000614s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000700s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ app_begin ] --START--
