[ 2017-05-02T14:51:42+08:00 ] 127.0.0.1 /member/login
[ 2017-05-02T14:51:42+08:00 ] /member/login | INFO: Tag[ route_check ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/login | INFO: Run CheckRoute Behavior [ RunTime:0.000814s ]
[ 2017-05-02T14:51:42+08:00 ] /member/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001027s ]
[ 2017-05-02T14:51:42+08:00 ] /member/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T14:51:42+08:00 ] /member/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-02T14:51:42+08:00 ] /member/login | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000369s ]
[ 2017-05-02T14:51:42+08:00 ] /member/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000424s ]
[ 2017-05-02T14:51:42+08:00 ] /member/login | NOTIC: [8] Undefined index: redirecturl MemberAction.class.php 第 82 行.
[ 2017-05-02T14:51:42+08:00 ] /member/login | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-02T14:51:42+08:00 ] /member/login | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\MemberAction.class.php on line 91 and defined Action.class.php 第 305 行.
[ 2017-05-02T14:51:42+08:00 ] /member/login | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-05-02T14:51:42+08:00 ]  127.0.0.1 /member/undefined | ERR: (ThinkException) 非法操作undefined
[ 2017-05-02T14:51:42+08:00 ] 127.0.0.1 /member/undefined
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | INFO: Tag[ route_check ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | INFO: Run CheckRoute Behavior [ RunTime:0.000565s ]
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | INFO: Tag[ route_check ] --END-- [ RunTime:0.000648s ]
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000419s ]
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000443s ]
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [2] file(): Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-05-02T14:51:42+08:00 ] /member/undefined | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.

[ 2017-05-02T14:51:42+08:00 ] 127.0.0.1 /member/account
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Tag[ route_check ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Run CheckRoute Behavior [ RunTime:0.000389s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Tag[ route_check ] --END-- [ RunTime:0.000467s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000330s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000361s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.008934s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | SQL: SELECT `username` FROM `member` WHERE id=2 LIMIT 1   [ RunTime:0.006992s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Tag[ view_template ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Run LocationTemplate Behavior [ RunTime:0.001418s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Tag[ view_template ] --END-- [ RunTime:0.001479s ]
[ 2017-05-02T14:51:42+08:00 ] /member/account | INFO: Tag[ view_parse ] --START--
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T14:51:42+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
