[ 2017-05-03T15:06:50+08:00 ] 127.0.0.1 /order/add_img.html
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | INFO: Tag[ route_check ] --START--
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | INFO: Run CheckRoute Behavior [ RunTime:0.000327s ]
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000386s ]
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | INFO: Tag[ app_begin ] --START--
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000248s ]
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000271s ]
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 63 行.
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\CommonAction.class.php on line 130 and defined Action.class.php 第 305 行.
[ 2017-05-03T15:06:50+08:00 ] /order/add_img.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-05-03T15:06:52+08:00 ] 127.0.0.1 /order/delete_img.html
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | INFO: Tag[ route_check ] --START--
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | INFO: Run CheckRoute Behavior [ RunTime:0.000459s ]
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000526s ]
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | INFO: Tag[ app_begin ] --START--
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000326s ]
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000356s ]
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\CommonAction.class.php on line 130 and defined Action.class.php 第 305 行.
[ 2017-05-03T15:06:52+08:00 ] /order/delete_img.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-05-03T15:06:54+08:00 ] 127.0.0.1 /order/add_order
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | INFO: Tag[ route_check ] --START--
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | INFO: Run CheckRoute Behavior [ RunTime:0.000777s ]
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | INFO: Tag[ route_check ] --END-- [ RunTime:0.000900s ]
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | INFO: Tag[ app_begin ] --START--
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000575s ]
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000630s ]
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-03T15:06:54+08:00 ] /order/add_order | INFO: Tag[ view_template ] --START--
