[ 2017-05-04T13:07:29+08:00 ]  127.0.0.1 /member/undefined | ERR: (ThinkException) 非法操作undefined
[ 2017-05-04T13:07:29+08:00 ] 127.0.0.1 /member/undefined
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | INFO: Tag[ route_check ] --START--
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | INFO: Run CheckRoute Behavior [ RunTime:0.000805s ]
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | INFO: Tag[ route_check ] --END-- [ RunTime:0.000938s ]
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000727s ]
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000794s ]
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [2] file(): Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-05-04T13:07:29+08:00 ] /member/undefined | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.

[ 2017-05-04T13:07:29+08:00 ] 127.0.0.1 /order/order_info/oid/5
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | INFO: Tag[ route_check ] --START--
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000432s ]
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000497s ]
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000315s ]
[ 2017-05-04T13:07:29+08:00 ] /order/order_info/oid/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000345s ]
