[ 2017-05-08T13:36:35+08:00 ] 127.0.0.1 /member/account
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Tag[ route_check ] --START--
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Run CheckRoute Behavior [ RunTime:0.000369s ]
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Tag[ route_check ] --END-- [ RunTime:0.000437s ]
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Tag[ app_begin ] --START--
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000314s ]
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000350s ]
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Tag[ view_template ] --START--
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Run LocationTemplate Behavior [ RunTime:0.000382s ]
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Tag[ view_template ] --END-- [ RunTime:0.000445s ]
[ 2017-05-08T13:36:35+08:00 ] /member/account | INFO: Tag[ view_parse ] --START--
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-08T13:36:35+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
