[ 2017-05-09T10:49:53+08:00 ] 127.0.0.1 /index/isNewOrder.html
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --START--
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | INFO: Run CheckRoute Behavior [ RunTime:0.000512s ]
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000585s ]
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --START--
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000403s ]
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000430s ]
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\CommonAction.class.php on line 133 and defined Action.class.php 第 305 行.
[ 2017-05-09T10:49:53+08:00 ] /index/isNewOrder.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-05-09T10:49:56+08:00 ] 127.0.0.1 /order/add_order
[ 2017-05-09T10:49:56+08:00 ] /order/add_order | INFO: Tag[ route_check ] --START--
[ 2017-05-09T10:49:56+08:00 ] /order/add_order | INFO: Run CheckRoute Behavior [ RunTime:0.000377s ]
[ 2017-05-09T10:49:56+08:00 ] /order/add_order | INFO: Tag[ route_check ] --END-- [ RunTime:0.000430s ]
[ 2017-05-09T10:49:56+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-09T10:49:56+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-09T10:49:56+08:00 ] /order/add_order | INFO: Tag[ app_begin ] --START--
