[ 2017-04-07T17:18:32+08:00 ] 127.0.0.1 /text/uploadImg
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | INFO: Tag[ route_check ] --START--
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | INFO: Run CheckRoute Behavior [ RunTime:0.000393s ]
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000461s ]
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | INFO: Tag[ app_begin ] --START--
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000251s ]
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000273s ]
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\TextAction.class.php on line 37 and defined Action.class.php 第 305 行.
[ 2017-04-07T17:18:32+08:00 ] /text/uploadImg | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-04-07T17:18:40+08:00 ] 127.0.0.1 /text/uploadImg
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | INFO: Tag[ route_check ] --START--
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | INFO: Run CheckRoute Behavior [ RunTime:0.000380s ]
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000431s ]
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | INFO: Tag[ app_begin ] --START--
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000271s ]
[ 2017-04-07T17:18:39+08:00 ] /text/uploadImg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000294s ]
