[ 2017-05-03T16:56:33+08:00 ] 127.0.0.1 /member/account
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ route_check ] --START--
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Run CheckRoute Behavior [ RunTime:0.000330s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ route_check ] --END-- [ RunTime:0.000390s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ app_begin ] --START--
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000265s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000289s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.006990s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | SQL: SELECT `username` FROM `member` WHERE id=2 LIMIT 1   [ RunTime:0.004874s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ view_template ] --START--
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Run LocationTemplate Behavior [ RunTime:0.000409s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ view_template ] --END-- [ RunTime:0.000438s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ view_parse ] --START--
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-03T16:56:33+08:00 ] /member/account | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
