[ 2017-05-11T13:38:20+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-05-11T13:39:01+08:00 ] 127.0.0.1 /order/order_info/oid/11
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Tag[ route_check ] --START--
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Run CheckRoute Behavior [ RunTime:0.000394s ]
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000455s ]
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Tag[ app_begin ] --START--
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000289s ]
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000312s ]
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8] Undefined index: common CommonAction.class.php 第 124 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [2048] Only variables should be passed by reference OrderAction.class.php 第 206 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8] Use of undefined constant _STATIC_ - assumed '_STATIC_' OrderAction.class.php 第 236 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Tag[ view_template ] --START--
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Run LocationTemplate Behavior [ RunTime:0.000492s ]
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000539s ]
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | INFO: Tag[ view_parse ] --START--
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-11T13:39:00+08:00 ] /order/order_info/oid/11 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
